household_id,income,household_size,building_type,home_age,sqft,region,utility,urban,dac_flag,baseline_gas_therms_year,baseline_elec_kwh_year,elec_rate_cents_kwh,gas_rate_dollars_therm,received_prior_rebate,adopted_heat_pump,adoption_probability,prob_decile
15,65515.0,3,single_family,33.0,1217.0,South,UtilityB,1,0,492.07,1610.5,23.08,1.66,0,1,0.5552871,9
16,141571.0,3,single_family,27.0,1045.0,South,UtilityA,0,0,381.07,942.48,23.21,1.84,0,0,0.991443,1
17,89818.0,4,single_family,0.0,2234.0,South,UtilityB,1,0,391.54,1299.65,31.0,2.07,0,1,0.93996483,4
18,91986.0,4,multi_family,20.0,2491.0,South,UtilityA,0,0,392.3,1326.91,15.83,1.94,0,1,0.91227233,6
19,90917.0,4,single_family,39.0,1443.0,South,UtilityB,1,0,596.02,1332.47,27.41,2.0,0,0,0.59776175,9
20,115087.0,6,multi_family,9.0,1162.0,South,UtilityA,1,0,247.85,723.48,24.04,1.2,0,1,0.8498271,8
21,102281.0,4,single_family,40.0,2718.0,Northeast,UtilityA,1,1,781.74,3436.83,23.54,2.05,0,1,0.9903993,1
22,98261.0,1,multi_family,39.0,930.0,West,UtilityA,0,1,137.73,1073.44,17.14,1.75,1,1,0.9588201,3
23,107080.0,2,single_family,10.0,2406.0,Midwest,UtilityC,1,1,274.52,2308.77,26.84,1.08,0,1,0.95110464,4
24,30262.0,3,multi_family,30.0,1457.0,Northeast,UtilityB,1,0,1002.59,1219.7,17.69,2.03,0,1,0.9025781,6
25,31395.0,3,single_family,46.0,2038.0,Northeast,UtilityC,1,0,445.66,1472.63,28.12,1.25,0,1,0.9563293,3
26,82718.0,3,single_family,12.0,2446.0,South,UtilityB,0,0,1096.08,1732.69,20.05,1.19,1,0,0.21586126,10
27,79070.0,2,single_family,26.0,2086.0,South,UtilityC,1,0,427.8,1361.48,28.11,2.22,0,0,0.30065644,10
28,102394.0,1,single_family,53.0,1623.0,South,UtilityB,0,0,221.83,2993.23,19.39,1.7,0,1,0.9044414,6
29,85601.0,1,single_family,13.0,2638.0,South,UtilityA,0,0,210.57,5326.72,18.49,1.19,0,0,0.09922592,10
30,102456.0,6,single_family,39.0,1973.0,Northeast,UtilityB,1,0,539.84,759.03,21.83,1.39,0,0,0.46383083,9
31,47632.0,3,single_family,8.0,4010.0,Midwest,UtilityA,1,0,220.0,2562.87,19.25,2.03,0,1,0.89135504,7
32,84678.0,6,multi_family,27.0,777.0,West,UtilityC,1,1,384.82,1844.36,21.27,1.12,0,1,0.95798445,3
33,44768.0,3,single_family,39.0,768.0,West,UtilityC,0,0,704.73,1504.45,28.96,1.55,0,1,0.9485473,4
34,96606.0,2,single_family,0.0,2397.0,West,UtilityA,0,0,589.0,2390.24,20.0,1.55,0,1,0.78719383,8
35,28651.0,3,single_family,19.0,1781.0,Northeast,UtilityC,1,0,472.01,2657.13,22.91,2.69,0,1,0.9828325,1
36,95449.0,6,single_family,39.0,2276.0,West,UtilityA,0,0,562.67,1662.09,28.58,1.02,0,1,0.9648498,3
37,40930.0,4,single_family,35.0,1141.0,West,UtilityB,0,1,712.15,2843.62,23.17,1.04,0,1,0.9639505,3
38,73494.0,1,multi_family,20.0,1832.0,South,UtilityC,1,0,440.21,683.28,26.72,1.38,0,1,0.95702386,3
39,111848.0,2,single_family,8.0,2074.0,South,UtilityA,0,1,772.07,2251.47,24.44,1.35,0,1,0.6410489,9
40,91821.0,6,single_family,43.0,1474.0,Midwest,UtilityA,1,1,539.47,1753.22,26.21,1.62,0,1,0.9152971,6
41,35630.0,1,single_family,24.0,1939.0,South,UtilityB,1,0,847.69,1889.59,21.94,1.41,0,0,0.2792603,10
42,64828.0,6,single_family,41.0,983.0,West,UtilityA,1,0,560.36,2540.08,24.54,1.94,0,1,0.8714998,7
43,39959.0,6,multi_family,38.0,2037.0,South,UtilityA,1,0,275.41,2157.0,29.44,1.64,1,1,0.8709095,7
44,34157.0,2,single_family,21.0,2667.0,Northeast,UtilityB,0,0,380.64,3473.81,20.89,1.22,0,1,0.8801661,7
45,88530.0,4,multi_family,51.0,1057.0,South,UtilityA,1,0,528.99,3721.85,23.88,1.51,0,1,0.89423245,7
46,101809.0,4,single_family,18.0,1021.0,South,UtilityA,1,1,1437.02,1605.89,19.5,1.5,0,1,0.98162615,1
47,98218.0,5,multi_family,54.0,2514.0,South,UtilityC,0,0,367.39,1011.23,26.36,2.06,0,0,0.35225263,10
48,103079.0,5,single_family,56.0,1011.0,South,UtilityB,0,1,1278.44,1717.45,15.53,1.95,0,1,0.92472535,5
49,84643.0,1,apartment,51.0,2304.0,West,UtilityB,1,0,805.85,1174.0,21.02,1.89,0,1,0.8783215,7
50,76798.0,2,single_family,26.0,1833.0,Northeast,UtilityA,0,1,822.28,1441.61,26.23,1.31,0,1,0.90637386,6
51,52808.0,6,single_family,81.0,1549.0,Northeast,UtilityC,0,0,713.46,1819.75,21.6,1.73,0,1,0.79007506,8
52,71798.0,3,apartment,33.0,2680.0,Midwest,UtilityA,0,0,1227.34,871.36,15.04,1.14,0,1,0.8208783,8
53,45360.0,2,multi_family,35.0,2357.0,West,UtilityA,1,0,395.83,2109.43,19.12,1.86,0,1,0.5285126,9
54,59645.0,4,single_family,30.0,1968.0,West,UtilityA,1,0,794.13,655.88,19.47,2.09,0,0,0.30296308,10
55,87668.0,2,single_family,7.0,508.0,West,UtilityB,1,1,299.85,1664.94,28.5,0.77,1,0,0.9830829,1
56,81466.0,1,single_family,56.0,2227.0,West,UtilityA,1,0,397.73,1265.64,25.36,1.57,0,1,0.9838308,1
57,176942.0,5,multi_family,19.0,1157.0,South,UtilityA,1,0,737.25,560.24,25.77,1.57,1,1,0.9914722,1
58,44626.0,1,single_family,48.0,1667.0,Midwest,UtilityB,1,0,830.52,2506.52,17.28,1.97,0,1,0.9088348,6
59,81247.0,6,single_family,53.0,1804.0,South,UtilityB,0,0,652.48,2664.7,22.22,1.37,0,0,0.87366235,7
60,42288.0,2,single_family,42.0,2938.0,South,UtilityA,0,0,201.9,2550.47,28.42,1.36,0,1,0.87079483,7
61,73366.0,1,apartment,16.0,1648.0,South,UtilityB,1,0,362.68,1170.53,25.78,1.67,0,0,0.30332357,10
62,74587.0,5,single_family,23.0,946.0,Northeast,UtilityA,1,0,275.58,2031.1,20.17,1.85,0,0,0.35894838,10
63,110346.0,2,single_family,0.0,2682.0,Midwest,UtilityA,1,0,514.92,2706.28,25.34,1.69,0,0,0.26765928,10
64,71510.0,3,apartment,28.0,2235.0,South,UtilityA,1,0,273.05,1955.08,17.06,1.96,0,1,0.8969249,7
65,79260.0,3,single_family,46.0,2258.0,Northeast,UtilityC,1,1,404.78,1885.86,18.77,1.88,0,1,0.6274159,9
66,72090.0,4,multi_family,25.0,2693.0,West,UtilityB,1,0,399.64,3286.2,14.66,1.4,0,1,0.9497471,4
67,42968.0,3,multi_family,18.0,2834.0,Northeast,UtilityA,1,0,920.4,3189.32,21.75,1.62,1,1,0.91487515,6
68,65437.0,2,single_family,24.0,1265.0,West,UtilityA,0,0,419.73,1441.9,24.73,1.83,1,1,0.9032409,6
69,73542.0,2,multi_family,54.0,965.0,Northeast,UtilityA,0,0,1260.33,1340.64,18.34,1.29,0,1,0.96940976,2
70,87215.0,2,apartment,29.0,2305.0,West,UtilityB,1,0,447.81,1227.27,21.83,1.34,0,1,0.83557177,8
71,101768.0,1,single_family,67.0,1643.0,South,UtilityB,0,0,691.41,740.32,18.84,1.03,0,1,0.93712986,5
72,77962.0,4,single_family,19.0,1697.0,Northeast,UtilityA,1,0,608.71,2989.61,19.83,2.08,0,1,0.9368824,5
73,77435.0,3,multi_family,34.0,1127.0,Midwest,UtilityC,1,0,568.59,1943.23,18.01,2.48,0,1,0.98921704,1
74,33376.0,1,single_family,21.0,2150.0,Midwest,UtilityA,0,0,799.02,1454.09,27.16,1.34,0,1,0.9197071,6
75,101192.0,2,single_family,71.0,2041.0,West,UtilityA,0,1,532.21,1794.23,19.43,1.84,0,1,0.9192501,6
76,64123.0,5,single_family,34.0,1707.0,Northeast,UtilityA,0,0,404.64,3100.61,21.2,2.11,0,1,0.9649089,3
77,107414.0,2,multi_family,73.0,967.0,Midwest,UtilityA,0,0,740.77,896.16,20.09,1.14,0,1,0.9240836,5
78,124493.0,3,multi_family,22.0,2525.0,South,UtilityC,1,0,332.09,2946.86,23.46,1.75,0,1,0.98293555,1
79,79363.0,5,apartment,61.0,1953.0,South,UtilityA,1,0,457.44,1727.21,32.16,2.14,0,1,0.81209415,8
80,54301.0,5,single_family,32.0,2471.0,South,UtilityB,1,1,798.1,2086.8,33.34,1.51,1,1,0.9178299,6
81,84499.0,5,apartment,47.0,538.0,Northeast,UtilityA,1,0,507.92,2135.99,21.32,1.58,0,1,0.5070495,9
82,95461.0,3,single_family,6.0,1834.0,South,UtilityA,1,0,664.26,3175.06,23.87,2.16,0,1,0.943914,4
83,75534.0,3,multi_family,37.0,1370.0,Midwest,UtilityA,1,0,615.92,1201.12,26.05,1.44,0,1,0.86959344,7
84,68079.0,6,multi_family,9.0,1822.0,South,UtilityA,0,0,417.01,4013.71,27.22,1.38,0,1,0.8766406,7
85,101906.0,6,single_family,35.0,2366.0,Midwest,UtilityA,0,1,516.63,983.95,24.75,1.54,0,1,0.9620909,3
86,99927.0,1,single_family,0.0,2022.0,West,UtilityA,0,0,324.45,1297.46,26.63,2.34,0,1,0.9881044,1
87,74611.0,6,single_family,28.0,1811.0,South,UtilityC,1,1,857.65,2277.65,23.85,1.93,0,1,0.8913175,7
88,35378.0,6,single_family,52.0,1808.0,South,UtilityB,1,0,464.53,3015.88,19.69,1.83,0,1,0.99276453,1
89,98691.0,6,multi_family,41.0,864.0,West,UtilityA,0,1,886.5,1225.98,26.6,1.83,0,1,0.98450965,1
90,61980.0,2,single_family,5.0,1256.0,West,UtilityB,1,0,495.78,927.77,22.76,1.17,0,1,0.9426134,4
91,91430.0,4,multi_family,0.0,2473.0,West,UtilityA,0,0,686.59,3083.9,23.55,1.84,1,1,0.96247196,3
92,89535.0,1,single_family,40.0,1497.0,South,UtilityB,1,1,326.74,1470.07,16.79,1.45,0,1,0.9717857,2
93,28332.0,1,single_family,62.0,2484.0,West,UtilityC,1,0,827.4,1514.35,19.13,1.54,0,0,0.31987318,10
94,87432.0,4,multi_family,11.0,2296.0,Northeast,UtilityA,0,0,119.72,1837.85,20.67,1.52,0,1,0.9479094,4
95,100436.0,2,single_family,72.0,2328.0,West,UtilityC,0,1,506.11,1690.63,24.32,2.0,0,1,0.9716883,2
96,104115.0,2,apartment,30.0,2000.0,South,UtilityA,1,0,431.72,2308.02,29.39,2.36,1,1,0.9801303,2
97,88521.0,2,apartment,0.0,1538.0,South,UtilityA,0,0,307.91,1005.86,25.33,1.26,0,1,0.45959637,9
98,25684.0,3,single_family,0.0,1709.0,West,UtilityB,0,0,1574.89,877.33,21.48,2.05,0,1,0.97504914,2
99,123312.0,1,single_family,45.0,2184.0,South,UtilityB,0,1,280.27,2075.02,18.26,1.57,0,1,0.92262787,5
100,97331.0,5,single_family,33.0,525.0,South,UtilityA,1,1,1243.66,2123.66,27.2,1.94,1,1,0.9917088,1
101,48900.0,5,multi_family,60.0,2546.0,West,UtilityA,1,0,1066.49,2304.41,23.48,1.76,0,1,0.9730621,2
102,61367.0,5,single_family,6.0,1500.0,South,UtilityA,1,0,271.41,2252.05,10.0,1.4,0,1,0.9216783,5
103,91937.0,6,apartment,32.0,1748.0,Midwest,UtilityA,0,0,528.29,884.66,26.38,1.39,0,1,0.91210634,6
104,105394.0,4,apartment,30.0,1753.0,Northeast,UtilityA,1,0,506.34,2237.15,23.7,1.56,0,0,0.25397092,10
105,70361.0,3,single_family,27.0,1776.0,South,UtilityA,1,1,394.98,2197.63,13.61,1.79,1,1,0.9611892,3
106,109766.0,6,multi_family,22.0,1012.0,Midwest,UtilityC,1,0,535.86,950.24,24.7,1.84,0,1,0.8422213,8
107,31217.0,4,single_family,23.0,1891.0,South,UtilityB,1,0,614.85,2660.2,22.55,2.83,1,1,0.94928795,4
108,53726.0,3,single_family,33.0,2157.0,West,UtilityC,0,0,893.25,1208.52,16.94,1.86,1,1,0.8496932,8
109,23069.0,3,single_family,36.0,573.0,Midwest,UtilityA,0,0,301.7,1145.57,30.36,1.13,0,1,0.9265294,5
110,58078.0,1,multi_family,35.0,1020.0,West,UtilityA,1,1,508.43,2328.27,23.96,2.15,0,1,0.9745106,2
111,130242.0,6,single_family,54.0,2338.0,South,UtilityB,1,0,433.94,1045.45,20.27,1.88,0,1,0.9274545,5
112,146734.0,5,apartment,6.0,2226.0,West,UtilityB,0,0,411.48,1591.46,19.07,1.58,0,1,0.95671,3
113,92038.0,5,single_family,0.0,1979.0,Northeast,UtilityB,0,1,546.61,1489.4,21.44,1.2,0,1,0.9623743,3
114,65847.0,2,multi_family,50.0,1391.0,South,UtilityA,1,1,484.67,1379.23,21.57,1.53,1,1,0.9136916,6
115,78351.0,6,apartment,11.0,2229.0,South,UtilityC,0,0,152.01,1249.35,24.51,2.11,1,0,0.79567164,8
116,99200.0,2,multi_family,22.0,1078.0,West,UtilityA,1,1,619.3,3774.28,21.24,1.85,0,0,0.9835444,1
117,38111.0,2,single_family,18.0,1718.0,West,UtilityA,1,0,201.97,2272.01,20.54,2.19,0,1,0.94973797,4
118,67825.0,1,single_family,17.0,1016.0,West,UtilityB,1,1,848.97,1312.41,22.83,2.17,1,1,0.9641213,3
119,128047.0,2,single_family,1.0,1703.0,Midwest,UtilityA,1,0,573.34,509.07,20.45,1.73,1,1,0.983863,1
120,53629.0,2,single_family,19.0,1182.0,South,UtilityA,1,0,465.98,1327.85,21.73,0.7,0,1,0.9241457,5
121,62529.0,5,apartment,43.0,2253.0,South,UtilityC,1,0,266.12,1992.55,27.72,1.29,0,1,0.83975935,8
122,85396.0,2,single_family,30.0,2060.0,Northeast,UtilityB,1,0,627.83,1486.12,20.26,1.03,0,1,0.9387565,5
123,93494.0,6,single_family,40.0,1458.0,West,UtilityA,0,0,528.98,2045.01,21.49,2.21,0,1,0.87667644,7
124,66250.0,2,multi_family,20.0,2454.0,South,UtilityA,1,0,545.96,1082.94,18.95,1.85,0,1,0.4463515,9
125,87309.0,4,single_family,48.0,1226.0,West,UtilityA,0,0,581.35,1834.94,26.42,1.56,0,1,0.95819455,3
126,103238.0,4,apartment,20.0,1779.0,West,UtilityC,1,0,712.5,2388.92,15.24,1.44,0,1,0.95076025,4
127,143844.0,5,single_family,0.0,1431.0,Northeast,UtilityC,0,0,618.16,1793.24,18.68,2.08,0,1,0.9886197,1
128,81213.0,5,single_family,36.0,2245.0,South,UtilityB,0,0,1030.82,1531.75,24.86,1.29,0,1,0.9382339,5
129,83761.0,6,multi_family,45.0,2186.0,South,UtilityC,0,1,711.5,2131.39,21.4,1.13,1,1,0.976862,2
130,130824.0,6,single_family,19.0,2581.0,West,UtilityA,1,1,611.22,661.66,25.53,1.09,0,1,0.9886545,1
131,68525.0,1,apartment,54.0,1850.0,South,UtilityC,0,0,556.54,2385.88,21.23,1.69,0,1,0.7985605,8
132,45269.0,1,single_family,13.0,300.0,Northeast,UtilityA,1,0,344.28,711.39,19.31,1.32,0,0,0.33302104,10
133,92507.0,3,single_family,43.0,1541.0,South,UtilityC,1,0,247.5,2550.08,21.51,2.04,0,0,0.33207312,10
134,117285.0,1,single_family,65.0,2739.0,Midwest,UtilityC,0,0,136.91,1506.82,16.83,1.64,0,0,0.08059943,10
135,95831.0,3,single_family,31.0,1605.0,South,UtilityA,1,1,693.77,579.52,18.7,1.08,0,1,0.94587564,4
136,82090.0,4,single_family,25.0,649.0,West,UtilityA,0,0,533.13,2467.38,25.65,1.54,0,0,0.2275612,10
137,41548.0,2,single_family,28.0,2070.0,Northeast,UtilityA,1,0,720.35,2697.0,20.96,1.25,0,0,0.4811082,9
138,83249.0,1,single_family,63.0,2114.0,Northeast,UtilityA,1,0,999.17,1548.93,21.88,1.58,0,1,0.8871677,7
139,121995.0,6,apartment,38.0,1364.0,South,UtilityA,1,0,509.58,2612.02,22.5,2.07,1,0,0.9811757,2
140,47976.0,3,single_family,73.0,1652.0,West,UtilityA,0,1,275.04,1937.13,15.73,1.57,0,0,0.1725493,10
141,77658.0,6,multi_family,36.0,1292.0,Northeast,UtilityB,1,0,815.5,2124.57,15.77,1.36,0,1,0.9046024,6
142,73375.0,4,single_family,17.0,2114.0,Northeast,UtilityA,1,0,488.38,2869.65,23.53,1.81,1,1,0.50051,9
143,64069.0,4,multi_family,18.0,1834.0,South,UtilityC,1,0,403.54,2025.58,20.36,1.46,0,0,0.3843205,10
144,92438.0,5,single_family,31.0,1101.0,South,UtilityA,1,1,388.04,2469.78,21.12,1.84,0,1,0.8980972,7
145,98299.0,2,single_family,0.0,1794.0,Northeast,UtilityA,1,0,690.43,3644.09,24.46,1.76,1,1,0.96883374,2
146,97985.0,2,single_family,21.0,1360.0,West,UtilityA,0,1,685.48,2461.12,18.26,1.21,0,1,0.8748855,7
147,55696.0,6,single_family,21.0,2677.0,West,UtilityC,0,1,903.6,1489.89,19.73,1.1,0,1,0.8066243,8
148,35620.0,5,single_family,35.0,2336.0,South,UtilityA,1,0,313.91,1963.48,20.59,1.48,0,1,0.9027694,6
149,92872.0,2,single_family,69.0,1727.0,Northeast,UtilityA,1,1,311.33,1324.08,23.35,1.79,0,1,0.9052101,6
150,69822.0,4,apartment,31.0,1849.0,South,UtilityA,0,0,586.17,2000.92,20.56,2.32,0,0,0.48902765,9
151,140149.0,3,single_family,0.0,2408.0,Midwest,UtilityA,1,0,616.75,1575.06,19.47,1.17,0,1,0.91739845,6
152,141535.0,6,apartment,12.0,1696.0,South,UtilityC,1,0,848.19,2082.97,28.77,1.22,0,1,0.96459496,3
153,144721.0,4,single_family,35.0,2255.0,West,UtilityB,0,0,875.89,2482.96,22.16,2.01,0,1,0.9713787,2
154,56797.0,2,single_family,32.0,2686.0,Northeast,UtilityA,1,0,575.43,1304.51,24.62,1.7,0,0,0.5290983,9
155,102081.0,5,single_family,62.0,1505.0,Northeast,UtilityA,0,0,901.7,1812.58,14.76,1.55,0,1,0.98433936,1
156,111129.0,5,single_family,49.0,2788.0,Northeast,UtilityA,1,0,523.58,1165.04,16.85,1.89,0,0,0.5557144,9
157,107751.0,3,multi_family,49.0,2613.0,Northeast,UtilityB,0,0,526.79,1333.29,24.34,2.12,1,1,0.9805783,2
158,74368.0,5,single_family,26.0,1949.0,Midwest,UtilityA,1,0,481.19,1930.47,21.04,2.03,0,1,0.8929366,7
159,123375.0,2,apartment,52.0,1534.0,South,UtilityB,1,0,304.26,1526.64,20.45,1.34,1,0,0.4004973,10
160,85014.0,2,single_family,12.0,1942.0,West,UtilityA,1,0,239.61,3082.21,18.2,1.79,1,1,0.93354684,5
161,88843.0,5,single_family,49.0,1653.0,Northeast,UtilityA,0,1,581.01,816.53,25.9,2.07,0,1,0.98751104,1
162,38865.0,4,single_family,24.0,1324.0,Midwest,UtilityB,1,1,822.59,3345.63,24.62,1.5,0,1,0.92124456,5
163,104343.0,1,multi_family,1.0,2119.0,West,UtilityB,0,0,395.2,2463.17,21.74,1.77,1,1,0.9457136,4
164,77188.0,5,single_family,42.0,1186.0,South,UtilityA,0,0,869.26,2261.68,22.98,1.38,0,0,0.8405462,8
165,98943.0,2,apartment,58.0,1597.0,West,UtilityB,1,0,980.22,2397.64,20.78,1.24,0,1,0.9398967,4
166,92053.0,2,single_family,22.0,1605.0,South,UtilityC,0,1,457.04,2377.19,19.26,1.78,1,1,0.86368,8
167,90428.0,3,single_family,61.0,981.0,Northeast,UtilityC,1,0,211.6,1478.49,19.92,1.99,0,0,0.680318,9
168,83629.0,3,multi_family,0.0,2195.0,Northeast,UtilityA,1,1,479.93,2515.97,25.06,1.92,0,1,0.79480445,8
169,108598.0,6,single_family,6.0,1663.0,West,UtilityC,0,0,324.58,1995.7,20.42,1.08,0,1,0.9629467,3
170,79033.0,3,multi_family,27.0,2579.0,West,UtilityB,1,0,825.0,877.85,22.23,2.15,0,1,0.90765524,6
171,41344.0,2,single_family,23.0,1653.0,South,UtilityB,0,1,593.84,1342.25,20.28,1.85,0,0,0.33657968,10
172,102069.0,5,multi_family,17.0,1556.0,South,UtilityB,1,0,210.17,1170.29,25.76,2.07,0,1,0.9651429,3
173,60730.0,4,single_family,33.0,1257.0,South,UtilityA,0,1,664.62,1652.72,19.4,1.25,0,1,0.88809717,7
174,45272.0,1,apartment,19.0,1823.0,Northeast,UtilityB,1,0,849.9,715.68,28.11,1.96,1,0,0.216855,10
175,54333.0,4,single_family,23.0,1827.0,Northeast,UtilityB,0,0,560.47,2350.05,19.71,1.88,0,1,0.86237687,8
176,93500.0,4,multi_family,36.0,2245.0,West,UtilityC,0,0,435.08,2519.4,19.71,1.12,1,1,0.9672377,3
177,82104.0,4,single_family,17.0,1840.0,Northeast,UtilityA,1,0,642.44,1459.72,30.01,1.8,1,1,0.70735866,9
178,21020.0,2,multi_family,28.0,3056.0,Midwest,UtilityC,1,0,1078.73,2098.45,17.73,1.21,0,1,0.94518834,4
179,73490.0,3,apartment,17.0,2074.0,South,UtilityA,1,0,912.26,3131.25,21.85,1.63,0,1,0.7721165,9
180,120077.0,4,apartment,6.0,1208.0,South,UtilityC,1,0,284.85,1517.15,26.05,2.55,1,1,0.995968,1
181,71461.0,5,single_family,45.0,1157.0,West,UtilityB,1,0,590.58,1517.52,15.83,1.74,0,1,0.9480517,4
182,80036.0,5,single_family,64.0,2121.0,Northeast,UtilityB,1,0,331.25,1611.83,23.03,1.58,0,0,0.17900144,10
183,116290.0,6,multi_family,51.0,1189.0,West,UtilityB,1,0,430.58,2272.59,15.84,1.03,0,1,0.9516836,4
184,108865.0,4,single_family,37.0,2157.0,Northeast,UtilityC,0,0,943.35,1505.17,22.15,1.74,0,1,0.9577627,3
185,115653.0,3,multi_family,17.0,2337.0,Midwest,UtilityA,1,0,589.34,1624.08,30.14,1.57,0,0,0.4034685,10
186,15000.0,4,single_family,24.0,2352.0,South,UtilityA,1,1,345.65,2238.76,12.6,0.82,0,1,0.8638699,8
187,137006.0,2,single_family,51.0,1278.0,West,UtilityC,0,0,475.92,2185.65,21.7,1.19,0,1,0.94764686,4
188,104092.0,2,single_family,0.0,2353.0,South,UtilityA,0,0,750.03,1427.71,20.18,1.98,1,0,0.9642254,3
189,158844.0,5,multi_family,23.0,1994.0,Midwest,UtilityB,1,1,418.42,1149.78,17.97,2.14,0,1,0.9939144,1
190,61530.0,2,single_family,45.0,1435.0,South,UtilityB,0,0,603.89,1545.85,15.88,1.66,0,1,0.85718167,8
191,32096.0,5,single_family,7.0,1704.0,Northeast,UtilityC,1,0,434.03,1692.15,26.4,2.03,0,1,0.95390725,4
192,85217.0,5,multi_family,38.0,2083.0,West,UtilityC,0,0,454.62,1943.9,22.79,1.64,0,1,0.7890311,8
193,76739.0,6,single_family,38.0,1396.0,West,UtilityA,0,0,1496.63,1800.85,14.56,1.32,0,1,0.9919167,1
194,104610.0,1,apartment,1.0,1981.0,South,UtilityB,1,0,985.99,1036.06,18.23,2.51,0,1,0.97889155,2
195,117248.0,3,single_family,32.0,2667.0,South,UtilityB,0,1,580.23,1490.65,19.8,1.06,0,1,0.8981775,6
196,82381.0,5,single_family,18.0,2378.0,South,UtilityB,0,1,693.07,735.93,15.71,1.8,0,0,0.27232602,10
197,77779.0,3,single_family,38.0,1849.0,South,UtilityA,1,0,575.53,1939.77,22.35,1.37,1,1,0.7908712,8
198,100682.0,4,single_family,43.0,1940.0,Northeast,UtilityA,1,0,259.12,1126.01,23.02,1.54,0,1,0.9311594,5
199,77310.0,5,multi_family,38.0,1477.0,Midwest,UtilityB,0,1,315.85,919.09,22.96,2.26,0,1,0.93594307,5
200,74801.0,6,single_family,31.0,1494.0,South,UtilityA,0,0,983.63,1575.01,30.08,1.64,0,1,0.88697165,7
201,116114.0,2,single_family,36.0,878.0,West,UtilityB,1,0,936.37,2061.71,18.24,1.5,0,1,0.9449953,4
202,122793.0,2,single_family,6.0,1951.0,Midwest,UtilityA,1,0,566.75,1781.41,20.11,1.41,0,1,0.9730339,2
203,117519.0,3,multi_family,29.0,2209.0,West,UtilityC,1,0,371.05,3270.73,19.89,1.85,0,1,0.93029624,5
204,79953.0,4,multi_family,14.0,1757.0,West,UtilityC,0,0,232.79,817.87,25.42,1.25,1,1,0.9539346,4
205,20806.0,6,single_family,51.0,1274.0,West,UtilityB,0,0,1317.82,798.62,24.98,1.66,0,0,0.22242406,10
206,80554.0,1,single_family,44.0,1840.0,West,UtilityC,0,0,307.03,1382.66,17.48,1.57,0,1,0.98482406,1
207,62261.0,2,single_family,44.0,2605.0,Northeast,UtilityC,0,0,385.46,2475.93,27.78,1.31,0,0,0.41320384,9
208,81108.0,6,multi_family,64.0,2339.0,South,UtilityB,1,1,415.9,1432.5,18.37,1.05,0,1,0.91469216,6
209,64867.0,4,single_family,23.0,1782.0,West,UtilityB,0,0,367.39,1209.11,25.42,1.64,0,1,0.7642856,9
210,84378.0,5,single_family,19.0,3028.0,West,UtilityA,1,0,544.67,2116.77,25.17,1.48,0,1,0.9055197,6
211,53822.0,2,multi_family,23.0,3419.0,Northeast,UtilityC,1,0,1246.4,1494.21,23.59,1.72,0,1,0.96711826,3
212,46578.0,4,single_family,0.0,1512.0,South,UtilityB,1,0,507.37,2838.41,20.68,0.76,0,0,0.20387869,10
213,121681.0,3,multi_family,0.0,1652.0,West,UtilityA,0,1,624.53,1595.67,20.76,1.44,0,1,0.9660226,3
214,55910.0,5,single_family,42.0,2216.0,Midwest,UtilityB,1,1,715.54,2492.31,23.93,1.97,1,1,0.9891611,1
